Some people think that private colleges and universities should NOT be able to use race as a factor in admissions. Other people think that they should be able to.     What do you think?,"The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?",Some people think that private colleges and universities should be able to use race as a factor in admissions. Other people think that they should NOT be able to.     What do you think?,"The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?",Some people think that public colleges and universities should NOT be able to use race as a factor in admissions. Other people think that they should be able to.     What do you think?,"The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?",Some people think that public colleges and universities should be able to use race as a factor in admissions. Other people think that they should NOT be able to.     What do you think?,"The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","Some people think that the language in the Constitution means that only state legislatures can regulate federal elections, without oversight from state courts. Other people think that state courts can exercise this oversight as they do in other areas.     What do you think?","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","Some people think state courts can exercise oversight over federal elections as they do in other areas. Other people think that the language in the U.S. Constitution means that only state legislatures can regulate federal elections, without oversight from state courts.","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","Colorado law prohibits businesses, including creative and artistic businesses, from discriminating against gay customers. Some people think this violates business owners’ rights to free speech. Other people think this does NOT violate business owners’ rights to free speech.     What do you think?","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","Colorado law prohibits businesses, including creative and artistic businesses, from discriminating against gay customers. Some think such a law does NOT violate business owners’ rights to free speech. Other people think this violates business owners’ rights to free speech.      What do you think?","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","One fourth of Alabama voters are Black. Alabama recently created seven Congressional districts, with only one of them being a majority-Black district.     Some people think the small number of districts in which Black voters are a majority violates Section 2 of the Voting Rights Act, which bans racial discrimination in voting policies, and that the state should be forced to redraw the districts. Other people disagree and say that the original plan with one majority-Black district is lawful.     What do you think?","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","One fourth of Alabama voters are Black. Alabama recently created seven Congressional districts, with only one of them being a majority-Black district.      Some people say that the plan with one majority-Black district is lawful. Other people think the small number of districts in which Black voters are a majority violates Section 2 of the Voting Rights Act, which bans racial discrimination in voting policies, and that the state should be forced to redraw the districts.      What do you think?","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","The Clean Water Act is a federal law that prohibits the ""discharge of pollutants"" into ""navigable waters.""     Some people think that this should be read broadly, to include things like wetlands. Other people think that this should be read narrowly, to include only things like streams, rivers, and lakes.      What do you think?","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","The Clean Water Act is a federal law that prohibits the ""discharge of pollutants"" into ""navigable waters.""      Some people think that this should be read narrowly, to include only things like streams, rivers, and lakes. Other people think that this should be read broadly, to include things like wetlands.     What do you think?","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?",California law prohibits the sale of pork from pigs that are kept in small cages.      Some people think that such a law discriminates against commerce from other states because most pork comes from outside of California. Other people think that such a law does not discriminate against commerce from other states.      What do you think?,"The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?",California law prohibits the sale of pork from pigs that are kept in small cages.      Some people think such a law does not discriminate against commerce from other states. Other people think that such a law discriminates against commerce from other states because most pork comes from outside of California.      What do you think?,"The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","In 1981, a photographer took a photo of the musician Prince. The artist Andy Warhol made changes to this photograph and used that to create a series of famous prints.      Some people think that when images are transformed like this, the original creator is not entitled to any payment. Other people think that the original creator is entitled to payment because the image is still recognizable.      What do you think?","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","In 1981, a photographer took a photo of the musician Prince. The artist Andy Warhol made changes to this photograph and used that to create a series of famous prints.      Some people think that the original creator is entitled to payment because the image is still recognizable. Other people think that when images are transformed like this, the original creator is not entitled to any payment.     What do you think?","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","Federal law states that internet companies are not responsible for hosting content that is posted by others.      Some people think that large tech companies, such as Google, can be held responsible when their algorithm recommends certain content to users. Other people think that these companies cannot be held responsible for content recommended by the company’s algorithms if that content was posted by other users.      What do you think?","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","Federal law states that internet companies are not responsible for hosting content that is posted by others.      Some people think that large tech companies, such as Google, cannot be held responsible for content recommended by the company’s algorithms if that content was posted by other users. Other people think that these companies can be held responsible when their algorithm recommends certain content to users.      What do you think?","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?",Federal law states that social media companies are not responsible for hosting content that is posted by others.     Some people think that social media companies can be held responsible for aiding and abetting terrorism for not removing content and accounts promoting terrorism. Other people think that they cannot be held responsible.      What do you think?,"The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?",Federal law states that social media companies are not responsible for hosting content that is posted by others.     Some people think that social media companies cannot be held responsible for aiding and abetting terrorism not removing content and accounts promoting terrorism. Other people think that they can be held responsible.      What do you think?,"The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","The Biden Administration announced plans to give up to $20,000 in student loan forgiveness to people who make less than $125,000 a year.     Some people think that the Biden Administration overstepped its authority with this debt forgiveness plan. Other people disagree and think that the Biden Administration did not overstep its authority.      What do you think?","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","The Biden Administration announced plans to give up to $20,000 in student loan forgiveness to people who make less than $125,000 a year.     Some people think that the Biden Administration did not overstep its authority with this debt forgiveness plan. Other people disagree and think that the Biden Administration overstepped its authority.     What do you think?","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?",Some people think that striking union workers can be held responsible for damage or loss caused to an employer’s property by employees stopping their work. Other people think that they cannot be held responsible because this would undermine the ability of union workers to strike.     What do you think?,"The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?",Some people think that striking union workers cannot be held responsible for damage or loss caused to an employer’s property by employees stopping their work because this would undermine the ability of union workers to strike. Other people think that striking union workers can be held responsible.      What do you think?,"The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","In 1978, Congress enacted a law that says that Native American children who are removed from their families should be placed with extended family members or foster homes of people who are also Native American.      Some people think this law discriminates on the basis of race. Other people think it does NOT discriminate on the basis of race.      What do you think?","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","In 1978, Congress enacted a law that says that Native American children who are removed from their families should be placed with extended family members or foster homes of people who are also Native American.      Some people think this law does NOT discriminate on the basis of race. Other people think it discriminates on the basis of race.     What do you think?","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","A postal worker refused to work on Sundays for religious reasons. The Postal Service agreed to help him find coworkers to swap shifts with, but when he could not find any coworkers to swap with and did not show up to work multiple times, he was disciplined and then quit.     Some people think that this is NOT religious discrimination. Other people think that this is religious discrimination and that the employer should have to accommodate his beliefs and should not have disciplined him.     What do you think?","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?","A postal worker refused to work on Sundays for religious reasons. The Postal Service agreed to help him find coworkers to swap shifts with, but when he could not find any coworkers to swap with and did not show up to work multiple times, he was disciplined and then quit.     Some people think that this is religious discrimination and that the employer should have to accommodate his beliefs and should not have disciplined him. Other people think that this is NOT religious discrimination.      What do you think?","The Supreme Court will be deciding this issue soon. Regardless of your personal views, how do you think the Supreme Court will decide?",Can you name any case ever heard by the U.S. Supreme Court?,"Please list as many Supreme Court cases as you can in the boxes below, up to 10: (Case Name)","Please list as many Supreme Court cases as you can in the boxes below, up to 10: (Case Name)","Please list as many Supreme Court cases as you can in the boxes below, up to 10: (Case Name)","Please list as many Supreme Court cases as you can in the boxes below, up to 10: (Case Name)","Please list as many Supreme Court cases as you can in the boxes below, up to 10: (Case Name)","Please list as many Supreme Court cases as you can in the boxes below, up to 10: (Case Name)","Please list as many Supreme Court cases as you can in the boxes below, up to 10: (Case Name)","Please list as many Supreme Court cases as you can in the boxes below, up to 10: (Case Name)","Please list as many Supreme Court cases as you can in the boxes below, up to 10: (Case Name)","Please list as many Supreme Court cases as you can in the boxes below, up to 10: (Case Name)","In a recent case called  Dobbs v. Jackson Women's Health Organization, the Supreme Court overturned its 1973 ruling in Roe v. Wade, which had established a constitutional right to an abortion under specific circumstances.   What is your opinion of the Court’s decision in Dobbs?","The Court’s 1965 ruling in a case called Griswold v. Connecticut established a constitutional right of couples to use contraception, such as the birth control pill.     Some people think that the Court should overrule Griswold and eliminate the constitutional right of couples to use contraception. Other people think that Griswold should be upheld, maintaining this right.     What do you think?","Although the Supreme Court has not announced plans to take on this issue, some have speculated that it could do so in the future. Regardless of your personal views, what do you think the Court will do?","The Court’s 2003 ruling in a case called  Lawrence v. Texas  declared that states punishing people for engaging in homosexual conduct was unconstitutional.     Some people think that the Court should overrule  Lawrence  and allow states to punish people for engaging in homosexual conduct. Other people think that  Lawrence  should be upheld, prohibiting states from doing this.      What do you think?","Although the Supreme Court has not announced plans to take on this issue, some have speculated that it could do so in the future. Regardless of your personal views, what do you think the Court will do?","The Court’s 2015 ruling in a case called  Obergefell v. Hodges  held that states must recognize same-sex marriages.     Some people think that the Court should overrule  Obergefell  and allow states to refuse to recognize same-sex marriages. Other people think that  Obergefell  should be upheld, maintaining that states must recognize same-sex marriages.     What do you think?","Although the Supreme Court has not announced plans to take on this issue, some have speculated that it could do so in the future. Regardless of your personal views, what do you think the Court will do?","The Court’s 1967 ruling in a case called  Loving v. Virginia  held that states cannot prevent two people of different races from marrying.     Some people think that the Court should overrule  Loving  and allow states to prevent two people of different races from marrying. Other people think that  Loving  should be upheld, maintaining that states cannot prevent two people of different races from marrying.     What do you think?","Although the Supreme Court has not announced plans to take on this issue, some have speculated that it could do so in the future. Regardless of your personal views, what do you think the Court will do?","Generally speaking, do you think of yourself as a ...?","Generally speaking, do you think of yourself as a ...?",Do you think of yourself as closer to the Democratic or the Republican Party?,"In the past six months, how frequently would you say you have heard political leaders from the [Democratic/Republican] Party mention the Supreme Court?","In your view, how important is it for political leaders of the [Democratic/Republican] Party to talk about the kinds of justices they would like to see appointed to the Supreme Court?",In your own words what would you say is the reputation of the Supreme Court?,0001,0002,0003,0004,"How much do you agree with the following statement:""It is important for leaders of the [Democratic/Republican] Party to criticize the Supreme Court""","The Supreme Court has nine members. For the issues that we asked you about earlier, what do you think the breakdown in the votes on the Court would typically be?",Some judges in the U.S. serve for a set number of years; others serve a life term. Do you happen to know whether the Justices of the U.S. Supreme Court serve for a set number of years or whether they serve a life term?,"Do you happen to know who has the last say when there is a conflict over the meaning of the U.S. Constitution---the U.S. Supreme Court, the U.S. Congress, or the President?",Some judges in the U.S. are elected; others are appointed to the bench. Do you happen to know if the Justices of the U.S. Supreme Court are elected or appointed to the bench?,Please select the name of the current Chief Justice of the United States from the choices below:,Please select the name of the Justice who most recently joined the U.S. Supreme Court from the choices below:,Supreme Court justices are appointed by the President of the United States. How many of the current nine justices do you think were appointed by Republican presidents?,How much do you think the political party of the appointing president affects how Supreme Court justices decide cases?,How much do you approve of the performance of the Supreme Court?,0001,0002,0003,0004,0005,Where would you place YOURSELF on the following scale?,Where would you place THE CURRENT SUPREME COURT on the following scale?,"The U.S. Supreme Court has nine members. Some people believe that Congress should expand the size of the Supreme Court, allowing the current president to appoint one or more new Justices. Do you agree or disagree that the size of the Supreme Court should be increased?","U.S. Supreme Court Justices currently serve life terms. Some people think that, instead, Supreme Court Justices should be limited to 18-year terms. Do you agree or disagree that there should be such term limits for Supreme Court Justices?","Some people seem to follow what's going on in government and public affairs most of the time, whether there's an election going on or not. Others aren't that interested. Would you say you follow what's going on in government and public affairs ...",Which cable news network do you watch the most?,"In general, how would you describe your own political viewpoint?","In general, how would you describe your own political viewpoint?",Are you registered to vote?,Are you registered to vote?,Did you vote in the November 2022 general election?,"In the 2022 elections for U.S. House of Representatives, who did you vote for in the district where you live?","In the 2022 elections, how did you cast your vote?",Did you vote in the November 2020 general election?,Who did you vote for in the election for President in 2020?,Are you…?,In what year were you born?,Age,Respondent age by category,What racial or ethnic group best describes you?,What racial or ethnic group best describes you?,"Are you of Spanish, Latino, or Hispanic origin or descent?",What is the highest level of education you have completed?,What is the highest level of education you have completed?,What is your marital status?,Are you the parent or guardian of any children under the age of 18?,What is your State of Residence?,Calculated from respondent's state of residence,How would you describe the place where you live?,Do you own or rent the place you currently live?,Which of the following best describes your current employment status?,"Thinking back over the last year, what was your family's annual income?","Thinking back over the last year, what was your family's annual income?",0001,0002,0003,0004,0005,0001,0002,0003,"We are interested in volunteer activities, that is, activities for which people are not paid, except perhaps expenses. We only want you to include volunteer activities that you did through or for an organization, even if you only did them once in a while. In the last 12 months, that is since March 2022, have you done any volunteer activities through or for an organization?",How important is religion in your life?,"Aside from weddings and funerals, how often do you attend religious services?","Would you describe yourself as a ""born-again"" or evangelical Christian, or not?","People practice their religion in different ways. Outside of attending religious services, how often do you pray?","What is your present religion, if any?",A/B Randomization,When did you start this qx (epoch seconds)?,When did you complete this qx (epoch seconds)?,What was the last time you visited this questionnaire?,71bfe4bff7c947308829dacbf2fc0e91
.,.,2,1,.,.,2,1,.,.,2,1,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,1,.,.,2,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,1,2,1,Roe v wade ,,,,,,,,,,2,2,1,2,1,2,1,2,1,3,4,.,.,.,Trash,2,3,2,3,.,2,2,2,2,4,2,5,1,5,3,5,4,1,2,50.0,100.0,2,4,2,5,2,3,1,1,1,6,3,1,1,1,1977.0,46.0,3,4,4,2,5,3,5,2,6,4,2,2,1,7,2,2,2,2,2,1,2,2,1,2,4,6,2,7,11,2,2023-04-05 17:05:18.362000,2023-04-05 17:21:19.780000,2023-04-05 17:21:15.157000,0.916078142623027
1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,2,2,2,2,1,1,2,2,2,7,.,3,1,I think the court has been threatened and has caused its rulings to be tainted by fear. The fact that the decision on overturning Roe v Wade was leaked shows that radical people have infiltrated the court.,1,5,1,1,4,1,2,2,2,4,2,5,1,2,5,5,5,2,1,78.0,70.0,1,2,1,4,3,5,1,1,1,2,2,1,2,2,1954.0,68.0,4,7,4,2,6,4,1,2,1,3,2,1,5,5,1,2,2,2,2,1,2,2,1,2,1,2,1,1,1,1,2023-04-05 17:05:19.414000,2023-04-05 17:21:35.336000,2023-04-05 17:21:34.594000,1.11707267294988
1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,Row vs wade,Dibs decision,,,,,,,,,2,2,2,2,2,2,2,2,2,1,2,.,1,2,It is horrid. Some members need to removed. They do not recuse themselves when they have conflicts. I do not believe they can make decisions fairly:,1,3,1,3,3,1,2,2,2,4,2,6,1,5,3,1,4,1,4,39.0,90.0,2,2,1,3,1,2,1,1,1,1,2,1,1,2,1950.0,72.0,4,1,1,2,5,3,5,2,34,1,4,1,2,5,1,2,2,2,1,2,2,2,1,1,3,5,2,6,5,1,2023-04-05 17:06:04.592000,2023-04-05 17:22:17.438000,2023-04-05 17:22:16.820000,0.920081370330843
.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,2,2,2,2,5,8,8,.,.,idk,2,2,2,5,.,2,1,2,3,1,5,5,2,3,2,2,2,2,3,41.0,49.0,3,2,3,5,4,6,2,2,.,.,.,2,6,2,1977.0,45.0,3,1,1,2,3,2,1,1,42,1,2,1,1,97,4,2,2,2,1,2,2,2,1,2,2,5,2,3,2,2,2023-04-05 17:06:26.942000,2023-04-05 17:22:45.047000,2023-04-05 17:22:44.450000,0.850692770704022
.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,1,.,.,2,1,.,.,2,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,1,2,1,2,1,2,1,3,4,.,.,.,Not good,3,4,2,4,.,3,2,3,2,4,5,7,2,4,1,2,1,1,4,42.0,44.0,3,2,3,5,4,6,1,1,1,1,3,1,1,2,1964.0,58.0,3,1,1,2,2,1,1,2,51,3,2,1,7,3,1,2,2,2,1,2,2,2,1,2,2,4,2,1,12,2,2023-04-05 17:02:13.745000,2023-04-05 17:23:08.327000,2023-04-05 17:23:03.193000,0.875611051219938
1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,2,2,2,2,2,6,.,5,3,"that if anybody can get it right, they should be able to.",2,3,2,3,3,3,3,2,2,4,4,4,3,3,3,3,3,3,3,50.0,51.0,4,2,3,5,2,3,1,1,1,2,3,1,2,2,1955.0,67.0,4,1,1,2,4,2,1,2,41,4,2,1,5,12,3,2,2,2,2,1,2,2,1,1,4,6,2,7,10,1,2023-04-05 17:06:25.120000,2023-04-05 17:23:09.684000,2023-04-05 17:23:09.035000,0.809845185833492
.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,2,1,brown vs board of education,gideon vs wainright,us vs nixon,roe vs wade,miranda vs arizona,,,,,,2,2,2,2,2,2,2,2,2,1,1,.,2,2,"it has fallen due to the trump presidency, but i remain hopeful that the rule of law will continue to be upheld.",1,3,1,3,3,2,2,2,2,4,2,5,1,2,3,4,3,2,3,10.0,90.0,2,1,1,5,1,2,1,1,1,1,2,1,1,2,1957.0,65.0,4,1,1,2,5,3,5,2,1,3,1,2,5,6,2,2,2,2,2,1,2,2,1,2,3,6,2,1,1,2,2023-04-05 17:03:35.181000,2023-04-05 17:24:40.199000,2023-04-05 17:24:39.645000,0.762088264402122
1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,OK,,,,,,,,,,1,1,2,2,1,1,2,1,2,1,2,.,2,4,OK,1,1,1,1,2,2,2,2,2,2,4,4,2,2,1,2,2,1,2,77.0,68.0,2,2,2,2,3,4,2,2,2,.,.,1,1,1,1999.0,23.0,1,2,2,2,5,3,6,2,34,1,2,2,.,8,2,2,2,2,1,2,1,2,2,1,2,2,2,2,11,1,2023-04-05 17:05:07.820000,2023-04-05 17:24:47.835000,2023-04-05 17:24:47.627000,0.939333037813098
.,.,2,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,1,1,roe vs wade,,,,,,,,,,1,2,2,2,2,2,2,2,2,3,8,.,.,.,liberal leftist socialist,2,2,2,2,.,1,2,2,2,4,2,4,2,4,2,3,3,2,3,60.0,30.0,5,2,3,5,2,3,1,1,1,6,2,1,2,1,1956.0,67.0,4,5,4,2,6,4,1,2,29,2,3,1,5,3,1,2,2,2,2,1,2,2,1,2,1,6,1,1,1,2,2023-04-05 17:04:22.360000,2023-04-05 17:25:44.004000,2023-04-05 17:25:40.223000,0.579533034619918
.,.,2,2,.,.,1,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,1,.,.,1,1,1,Roe v Wade,Marbury v Madison,Schenck v US,Miranda v Arizona,Obergefell v. HodgesLoving v Virgina ,Obergefell v Hodges,Planned Parenthood v CaseyCasey ,New Youk Times v US ,Plessey v Ferguson ,Dred Scott v Sandford,2,2,2,2,1,2,1,2,2,3,3,.,.,.,"It used to be the most sacred, unassailable branch of the government, but since Trump's election, it too has become a a perversion.",1,3,1,4,.,1,2,2,2,4,2,6,2,2,3,4,5,4,2,40.0,70.0,3,5,1,1,2,3,1,1,2,.,.,1,1,2,1978.0,44.0,2,1,1,2,5,3,3,2,36,1,1,1,1,11,3,2,1,1,1,2,2,2,1,1,2,5,2,5,2,2,2023-04-05 17:03:35.671000,2023-04-05 17:26:17.748000,2023-04-05 17:26:14.655000,0.937364792788948
.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,1,roe v wade,,,,,,,,,,1,2,2,2,2,1,2,2,2,2,6,.,4,2,biased,2,3,2,3,3,1,2,2,2,4,5,5,2,3,3,3,4,2,3,68.0,43.0,5,2,4,5,3,4,1,1,2,.,.,1,2,2,1959.0,63.0,3,1,1,2,5,3,4,2,46,2,4,1,2,3,1,2,2,2,1,2,2,2,1,2,4,6,2,6,11,2,2023-04-05 17:04:59.030000,2023-04-05 17:26:16.573000,2023-04-05 17:26:05.946000,1.04869914488533
1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,1,.,.,1,plessy vs feurguson,brown vs. board of education,roe vs. wade,miranda vs. arizona,"dobbs vs, jackson",dredd scott vs. sanford,dredd scott,,,,2,2,2,2,2,2,2,2,2,2,7,.,2,2,"tarnished by false allegations and inability to secure the privacy of their drafts, etc . New justice Brown was also a poor choice and likely unfit given her inability to define a woman",2,1,1,1,4,1,2,2,2,4,2,5,5,2,5,4,5,4,2,70.0,56.0,5,4,1,2,3,5,1,1,1,2,1,1,2,2,1962.0,61.0,3,1,1,2,6,4,1,2,26,2,2,1,2,97,4,2,2,2,2,1,2,2,1,2,2,5,2,3,2,1,2023-04-05 17:06:19.800000,2023-04-05 17:26:31.977000,2023-04-05 17:26:28.362000,1.11369654364273
2,1,.,.,2,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,1,Roe v. Wade,Hobby Lobby,Brown v. Board of Ed.,Citizen's United,Obgerfeld v. Hodges,Dred Scott,Dobbs v. Jackson ??,affirmative action (original U of California case),Loving v Virginia,Marbury v. Madison,2,2,2,2,1,2,1,2,2,1,1,.,2,1,"horrible, discredited; biased",1,4,1,3,1,2,2,2,2,4,5,6,2,5,3,3,4,2,5,20.0,61.0,2,1,1,3,1,1,1,1,1,1,1,1,1,2,1956.0,66.0,4,1,1,2,6,4,1,2,36,1,1,1,1,11,3,2,2,2,2,1,2,2,1,2,4,6,2,7,11,1,2023-04-05 17:00:18.360000,2023-04-05 17:27:02.230000,2023-04-05 17:26:57.102000,0.674440215506282
.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,2,2,1,Roe vs wa,,,,,,,,,,2,2,2,2,2,2,2,2,2,5,8,8,.,.,Not good,4,5,3,5,.,1,3,2,3,3,5,5,5,3,1,3,5,1,5,91.0,63.0,3,3,7,5,1,2,1,1,1,6,2,1,5,2,1989.0,33.0,2,1,1,2,1,1,2,1,45,3,4,1,4,1,1,2,2,2,2,1,2,2,1,1,4,5,1,5,12,2,2023-04-05 17:06:27.068000,2023-04-05 17:27:10.922000,2023-04-05 17:27:02.465000,0.789596396405738
.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,1,2,2,2,2,2,3,3,.,.,.,It has in the past had a great reputation but it's recent actions have tarnished that reputation,1,3,1,5,.,3,2,2,2,4,1,5,4,2,2,2,2,1,4,50.0,71.0,3,2,4,5,2,3,1,1,1,1,1,1,1,1,1952.0,70.0,4,1,1,2,2,1,1,2,12,3,1,1,5,4,1,2,2,2,1,2,2,2,1,1,1,4,2,2,1,2,2023-04-05 17:06:47.654000,2023-04-05 17:28:26.056000,2023-04-05 17:28:19.883000,0.911670751707938
1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,1,.,.,1,2,.,.,1,Roe v Wade,Hodges v Obergerfell,Brown v Board of ed,,,,,,,,2,2,1,2,1,2,1,2,1,3,3,.,.,.,Rightfully perceived as illegitimate and unrepresentative of the people due to judges being disproportionately appointed by presidents that have lost the popular vote for 2 decades,3,4,2,4,.,1,2,2,2,2,2,6,1,5,1,2,2,2,3,1.0,100.0,3,2,1,5,1,1,1,1,1,1,2,1,1,1,1993.0,29.0,1,1,1,2,3,2,5,2,8,4,3,2,.,3,1,2,2,2,2,1,2,2,1,2,2,5,2,5,10,1,2023-04-05 17:07:00.520000,2023-04-05 17:28:44.349000,2023-04-05 17:28:40.019000,1.17426246913201
.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,1,Wade v roe,Brady v US ,"States of TX, MS v US ",,,,,,,,2,2,2,2,2,2,2,2,2,3,4,.,.,.,SCOTUS has a better reputation than any other legislative branch,1,5,1,5,.,1,2,2,2,4,2,5,1,2,3,4,5,2,2,55.0,60.0,5,4,1,5,2,3,1,1,1,2,2,1,2,2,1965.0,57.0,3,1,1,2,6,4,1,1,41,4,2,1,1,11,3,2,2,2,1,2,2,2,1,1,2,3,1,1,1,2,2023-04-05 17:06:44.100000,2023-04-05 17:28:47.956000,2023-04-05 17:28:40.588000,0.564886745316272
